ID	Gene Symbol	Gene Title
100001_at	Cd3g	"CD3 antigen, gamma polypeptide"
100002_at	Itih3	"inter-alpha trypsin inhibitor, heavy chain 3"
100003_at	Ryr1	"ryanodine receptor 1, skeletal muscle"
100004_at	Ints7	integrator complex subunit 7
100005_at	Traf4	Tnf receptor associated factor 4
100006_at	Cdh11	cadherin 11
100007_at	Irf2bp1	interferon regulatory factor 2 binding protein 1
100009_r_at	Sox2	SRY-box containing gene 2
100010_at	Klf3	Kruppel-like factor 3 (basic)
100011_at	Klf3	Kruppel-like factor 3 (basic)
100012_at	Laptm5	lysosomal-associated protein transmembrane 5
100013_at	Ifi35	interferon-induced protein 35
100014_at	Tlk2	tousled-like kinase 2 (Arabidopsis)
100015_at	Yes1	Yamaguchi sarcoma viral (v-yes) oncogene homolog 1
100016_at	Mmp11	matrix metallopeptidase 11
100017_at	Mybph	myosin binding protein H
100018_at	Mtf1	metal response element binding transcription factor 1
100019_at	Vcan	versican
100020_at	Slc4a2	"solute carrier family 4 (anion exchanger), member 2"
100021_at	Chrna1	"cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)"
100022_at	Cish	cytokine inducible SH2-containing protein
100023_at	Mybl2	myeloblastosis oncogene-like 2
100024_at	Shroom3	shroom family member 3
100026_at	Bcat1	"branched chain aminotransferase 1, cytosolic"
100027_s_at	Pex14	peroxisomal biogenesis factor 14
100028_r_at	Pex14	peroxisomal biogenesis factor 14
100029_at	Pex14	peroxisomal biogenesis factor 14
100030_at	Upp1	uridine phosphorylase 1
100032_at	Sp1	trans-acting transcription factor 1
100033_at	Msh2	mutS homolog 2 (E. coli)
100034_at	Serpinb5	"serine (or cysteine) peptidase inhibitor, clade B, member 5"
100035_at	Npr1	natriuretic peptide receptor 1
100037_at	Ddx18	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18
100039_at	Tmem4	transmembrane protein 4
100040_at	Mrpl17	mitochondrial ribosomal protein L17
100041_at	Slc25a39	"solute carrier family 25, member 39"
100042_at	Hagh	hydroxyacyl glutathione hydrolase
100043_f_at	2310020A21Rik	RIKEN cDNA 2310020A21 gene
100044_at	Cldn11	claudin 11
100046_at	Mthfd2	"methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase"
100047_at	Snap25	synaptosomal-associated protein 25
100048_at	EG668838 /// LOC624574 /// LOC630619 /// LOC672896 /// LOC677336 /// Rap1a	"RAS-related protein-1a /// similar to Ras-related protein Rap-1A precursor (Ras-related protein Krev-1) /// similar to Ras-related protein Rap-1A (Ras-related protein Krev-1) /// predicted gene, EG668838"
100049_at	Hmga1	high mobility group AT-hook 1
100050_at	Id1	inhibitor of DNA binding 1
100051_at	Stom	stomatin
100052_at	Stom	stomatin
100054_s_at	D2Wsu81e	"DNA segment, Chr 2, Wayne State University 81, expressed"
100056_at	Fbxw2	F-box and WD-40 domain protein 2
100057_at	Nsmce1	non-SMC element 1 homolog (S. cerevisiae)
100058_at	2810453I06Rik	RIKEN cDNA 2810453I06 gene
100059_at	Cyba	"cytochrome b-245, alpha polypeptide"
100060_i_at	Klk1 /// Klk1b5	kallikrein 1 /// kallikrein 1-related peptidase b5
100061_f_at	Klk1	kallikrein 1
100062_at	LOC671904	similar to DNA replication licensing factor MCM3 (DNA polymerase alpha holoenzyme-associated protein P1) (P1-MCM3)
100064_f_at	Gja1	gap junction membrane channel protein alpha 1
100065_r_at	Gja1	gap junction membrane channel protein alpha 1
100066_at	Gart	phosphoribosylglycinamide formyltransferase
100067_at	Akr1b3 /// LOC235852 /// LOC382486 /// LOC385448 /// LOC385495 /// LOC672268	"aldo-keto reductase family 1, member B3 (aldose reductase) /// similar to Aldose reductase (AR) (Aldehyde reductase)"
100068_at	Aldh1a1	"aldehyde dehydrogenase family 1, subfamily A1"
100069_at	Cyp2f2	"cytochrome P450, family 2, subfamily f, polypeptide 2"
100071_at	LOC670615 /// Mup1 /// Mup2	major urinary protein 1 /// major urinary protein 2 /// similar to alpha-2u globulin PGCL3
100072_at	Ciao1	cytosolic iron-sulfur protein assembly 1 homolog (S. cerevisiae)
100073_at	N6amt2	N-6 adenine-specific DNA methyltransferase 2 (putative)
100074_at	Tmed9	transmembrane emp24 protein transport domain containing 9
100078_at	Apoa4	apolipoprotein A-IV
100079_at	Ndufb9	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9"
100080_at	Psp	parotid secretory protein
100081_at	Stip1	stress-induced phosphoprotein 1
100082_at	Tcf1	transcription factor 1
100084_at	Vil2	villin 2
100085_at	Ggt1	gamma-glutamyltransferase 1
100086_at	Lrpap1	low density lipoprotein receptor-related protein associated protein 1
100088_at	Ppp1cb	"protein phosphatase 1, catalytic subunit, beta isoform"
100089_at	Ppic	peptidylprolyl isomerase C
100091_at	Slc35b1	"solute carrier family 35, member B1"
100093_at	Pctk1	PCTAIRE-motif protein kinase 1
100094_at	Supt5h	suppressor of Ty 5 homolog (S. cerevisiae)
100095_at	Scarb1	"scavenger receptor class B, member 1"
100099_at	Smpd1	"sphingomyelin phosphodiesterase 1, acid lysosomal"
100100_at	Serpinb1a	"serine (or cysteine) peptidase inhibitor, clade B, member 1a"
100101_at	Snrpa	small nuclear ribonucleoprotein polypeptide A
100103_f_at	2210010C04Rik	RIKEN cDNA 2210010C04 gene
100104_r_at	2210010C04Rik	RIKEN cDNA 2210010C04 gene
100106_at	Tff3	"trefoil factor 3, intestinal"
100109_s_at	Krt13	keratin 13
100112_at	Cxcl12	chemokine (C-X-C motif) ligand 12
100113_s_at	Kifap3	kinesin-associated protein 3
100115_at	Qrich1	glutamine-rich 1
100116_at	2810417H13Rik	RIKEN cDNA 2810417H13 gene
100117_at	Diablo	diablo homolog (Drosophila)
100120_at	Nid1	nidogen 1
100122_at	Gnb5	"guanine nucleotide binding protein, beta 5"
100123_f_at	Itgb1	integrin beta 1 (fibronectin receptor beta)
100124_r_at	Itgb1	integrin beta 1 (fibronectin receptor beta)
100125_at	Pa2g4	proliferation-associated 2G4
100126_at	Chrac1	chromatin accessibility complex 1
100127_at	Crabp2	cellular retinoic acid binding protein II
100128_at	Cdc2a	cell division cycle 2 homolog A (S. pombe)
100130_at	Jun	Jun oncogene
100131_at	Scg5	secretogranin V
100133_at	Fyn	Fyn proto-oncogene
100134_at	Eng	endoglin
100136_at	Lamp2	lysosomal-associated membrane protein 2
100138_f_at	Rbm14	RNA binding motif protein 14
100139_at	Pcsk1n	proprotein convertase subtilisin/kexin type 1 inhibitor
100141_at	Fau	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived)
100142_at	Dgcr2	DiGeorge syndrome critical region gene 2
100143_at	Zyx	zyxin
100144_at	Ncl	nucleolin
100147_at	Aco1	aconitase 1
100148_at	Ctcf	CCCTC-binding factor
100149_at	Mcm6	"minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)"
100150_f_at	Ins2	insulin II
100151_at	Serinc3	serine incorporator 3
100152_at	Ncam1	neural cell adhesion molecule 1
100153_at	Ncam1	neural cell adhesion molecule 1
100154_at	Tapbp	TAP binding protein
100155_at	Ddr1	"discoidin domain receptor family, member 1"
100156_at	Mcm5	"minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)"
100213_f_at	Rpl41	ribosomal protein L41
100225_f_at	Psmc3	"proteasome (prosome, macropain) 26S subunit, ATPase 3"
100272_at	Jarid1d	"jumonji, AT rich interactive domain 1D (Rbp2 like)"
100277_at	Inhba	inhibin beta-A
100278_at	Cdkn1b	cyclin-dependent kinase inhibitor 1B
100279_at	St3gal2	"ST3 beta-galactoside alpha-2,3-sialyltransferase 2"
100280_at	Hist1h1t	"histone cluster 1, H1t"
100281_at	Gmcl1	Germ cell-less homolog 1 (Drosophila)
100282_at	Htr7	5-hydroxytryptamine (serotonin) receptor 7
100283_at	Sox10	SRY-box containing gene 10
100284_at	Zic4	zinc finger protein of the cerebellum 4
100285_at	Col4a3	"procollagen, type IV, alpha 3"
100286_at	Mst1	macrophage stimulating 1 (hepatocyte growth factor-like)
100287_at	Igbp1b	immunoglobulin (CD79A) binding protein 1b
100289_at	Efna3	ephrin A3
100290_f_at	6230416J20Rik	RIKEN cDNA 6230416J20 gene
100291_at	Cbl	Casitas B-lineage lymphoma
100292_at	Sh2d2a	SH2 domain protein 2A
100293_at	Cd59b	CD59b antigen
100294_at	Dffb	"DNA fragmentation factor, beta subunit"
100295_at	Igl	immunoglobulin lambda chain complex
100296_at	Tex2	testis expressed gene 2
100297_at	Wdr26	WD repeat domain 26
100298_at	Pspn	persephin
100299_f_at	Igkv12-41 /// LOC672386 /// LOC672390	immunoglobulin kappa chain variable 12-41 /// similar to Ig kappa chain V-V region K2 precursor /// similar to Ig kappa chain V-V region L7 precursor
100300_at	Cybb	"cytochrome b-245, beta polypeptide"
100301_at	Esrrb	"estrogen related receptor, beta"
100302_at	Maff	"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein F (avian)"
100303_at	H2-M10.1	"histocompatibility 2, M region locus 10.1"
100304_at	H2-M10.1	"histocompatibility 2, M region locus 10.1"
