Probe Set ID	Gene Title	Gene Symbol	UniGene ID	Chromosomal Location
1007_s_at	discoidin domain receptor tyrosine kinase 1	DDR1	Hs.631988	chr6p21.3
1053_at	"replication factor C (activator 1) 2, 40kDa"	RFC2	Hs.647062	chr7q11.23
117_at	heat shock 70kDa protein 6 (HSP70B')	HSPA6	Hs.654614	chr1q23
121_at	paired box 8	PAX8	Hs.469728	chr2q12-q14
1255_g_at	guanylate cyclase activator 1A (retina)	GUCA1A	Hs.92858	chr6p21.1
1294_at	ubiquitin-like modifier activating enzyme 7	UBA7	Hs.16695	chr3p21
1316_at	"thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)"	THRA	Hs.724	chr17q11.2
1320_at	"protein tyrosine phosphatase, non-receptor type 21"	PTPN21	Hs.437040	chr14q31.3
1405_i_at	chemokine (C-C motif) ligand 5	CCL5	Hs.514821	chr17q11.2-q12
1431_at	"cytochrome P450, family 2, subfamily E, polypeptide 1"	CYP2E1	Hs.12907	chr10q24.3-qter
1438_at	EPH receptor B3	EPHB3	Hs.2913	chr3q21-qter
1487_at	estrogen-related receptor alpha	ESRRA	Hs.110849	chr11q13
1494_f_at	"cytochrome P450, family 2, subfamily A, polypeptide 6"	CYP2A6	Hs.439056	chr19q13.2
1552256_a_at	"scavenger receptor class B, member 1"	SCARB1	Hs.709216	chr12q24.31
1552257_a_at	"tubulin tyrosine ligase-like family, member 12"	TTLL12	Hs.517670	chr22q13.31
1552258_at	chromosome 2 open reading frame 59	C2orf59	Hs.652166	chr2p11.2
1552261_at	WAP four-disulfide core domain 2	WFDC2	Hs.2719	chr20q12-q13.2
1552263_at	mitogen-activated protein kinase 1	MAPK1	Hs.431850	chr22q11.2|22q11.21
1552264_a_at	mitogen-activated protein kinase 1	MAPK1	Hs.431850	chr22q11.2|22q11.21
1552266_at	ADAM metallopeptidase domain 32	ADAM32	Hs.521545	chr8p11.23
1552269_at	spermatogenesis associated 17	SPATA17	Hs.171130	chr1q41
1552271_at	hypothetical protein MGC24975	MGC24975	Hs.631838	chr19p13.3
1552272_a_at	hypothetical protein MGC24975	MGC24975	Hs.631838	chr19p13.3
1552274_at	PX domain containing serine/threonine kinase	PXK	Hs.190544	chr3p14.3
1552275_s_at	PX domain containing serine/threonine kinase	PXK	Hs.190544	chr3p14.3
1552276_a_at	vacuolar protein sorting 18 homolog (S. cerevisiae)	VPS18	Hs.23876	chr15q14-q15
1552277_a_at	chromosome 9 open reading frame 30 /// transmembrane protein with EGF-like and two follistatin-like domains 1	C9orf30 /// TMEFF1	Hs.530272	chr9q31 /// chr9q31.1
1552278_a_at	"solute carrier family 46 (folate transporter), member 1"	SLC46A1	Hs.446689	chr17q11.2
1552279_a_at	"solute carrier family 46 (folate transporter), member 1"	SLC46A1	Hs.446689	chr17q11.2
1552280_at	T-cell immunoglobulin and mucin domain containing 4	TIMD4	Hs.334907	chr5q33.3
1552281_at	"solute carrier family 39 (metal ion transporter), member 5"	SLC39A5	Hs.591018	chr12q13.2
1552283_s_at	"zinc finger, DHHC-type containing 11"	ZDHHC11	Hs.659832	chr5p15.33
1552286_at	"ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E2"	ATP6V1E2	Hs.659656	chr2p21
