ID	Gene Ontology Molecular Function
100001_at	0004872 // receptor activity // inferred from electronic annotation /// 0004888 // transmembrane receptor activity // inferred from electronic annotation /// 0004888 // transmembrane receptor activity // inferred from sequence or structural similarity /// 0005515 // protein binding // inferred from physical interaction /// 0046982 // protein heterodimerization activity // inferred from sequence or structural similarity
100002_at	0004866 // endopeptidase inhibitor activity // inferred from electronic annotation /// 0004867 // serine-type endopeptidase inhibitor activity // inferred from electronic annotation
100003_at	0004872 // receptor activity // inferred from electronic annotation /// 0005216 // ion channel activity // inferred from electronic annotation /// 0005219 // ryanodine-sensitive calcium-release channel activity // inferred from electronic annotation /// 0005245 // voltage-gated calcium channel activity // inferred from direct assay /// 0005262 // calcium channel activity // inferred from electronic annotation /// 0005509 // calcium ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction
100004_at	0005488 // binding // inferred from electronic annotation
100005_at	0004872 // receptor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
100006_at	0005509 // calcium ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation
100007_at	0003714 // transcription corepressor activity // not recorded /// 0008134 // transcription factor binding // not recorded
100009_r_at	0003677 // DNA binding // inferred from direct assay /// 0003677 // DNA binding // inferred from genetic interaction /// 0003677 // DNA binding // inferred from electronic annotation /// 0003682 // chromatin binding // inferred from direct assay /// 0003700 // transcription factor activity // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0043565 // sequence-specific DNA binding // inferred from direct assay
100010_at	0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from sequence or structural similarity /// 0003677 // DNA binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
100011_at	0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from sequence or structural similarity /// 0003677 // DNA binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
100012_at	
100013_at	0005515 // protein binding // inferred from electronic annotation
100014_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0004672 // protein kinase activity // inferred from electronic annotation /// 0004674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 0004674 // protein serine/threonine kinase activity // inferred from sequence or structural similarity /// 0005524 // ATP binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from sequence or structural similarity /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation
100015_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0004672 // protein kinase activity // inferred from electronic annotation /// 0004713 // protein tyrosine kinase activity // inferred from electronic annotation /// 0004715 // non-membrane spanning protein tyrosine kinase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation
100016_at	0004222 // metalloendopeptidase activity // inferred from electronic annotation /// 0005509 // calcium ion binding // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation /// 0008237 // metallopeptidase activity // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
100017_at	0005515 // protein binding // inferred from electronic annotation
100018_at	0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from direct assay /// 0003677 // DNA binding // inferred from electronic annotation /// 0003700 // transcription factor activity // inferred from direct assay /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0042156 // zinc-mediated transcriptional activator activity // inferred from direct assay /// 0046872 // metal ion binding // inferred from electronic annotation
